Country,Sex,ageStart,ageGroup,ageLabel,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,Total,15,15-19,From 15 to 19 years,485606,484894,482051,480160,483348,486684,491090,495572,500123,501779,500713,495028,488368,480555,470104,460918,462738,453985,446497
Austria,Total,20,20-24,From 20 to 24 years,469045,469927,480997,497932,510800,523586,527046,522338,518961,520309,520502,523217,529484,538665,544207,549119,556773,553007,543335
Austria,Total,25,25-29,From 25 to 29 years,568165,546988,528293,514982,509551,508901,516395,526912,540439,549651,555486,555080,552932,552540,559979,570027,587787,598504,603826
Austria,Total,30,30-34,From 30 to 34 years,690870,674890,659039,639457,613484,592563,576486,557616,542292,533802,526825,529870,541738,556959,570842,585480,596287,598686,598813
Austria,Total,35,35-39,From 35 to 39 years,693847,703438,709063,709762,708122,702514,690100,673492,652614,624862,599525,580724,562653,549234,544970,545581,556815,572365,588265
Austria,Total,40,40-44,From 40 to 44 years,598711,618917,638509,658104,679684,697623,710080,714962,714785,712011,703584,688686,672785,653499,629373,610222,598003,582792,571243
Austria,Total,45,45-49,From 45 to 49 years,508360,517143,538011,555221,574473,597301,619820,638593,658017,678979,695026,705726,710513,711980,711505,707317,697343,684053,666736
Austria,Total,50,50-54,From 50 to 54 years,480045,504607,511675,503965,499651,502655,512697,533084,550194,569393,590703,611511,630070,650630,673175,691590,705366,712250,715390
Austria,Total,55,55-59,From 55 to 59 years,509411,464539,445121,455192,463797,468378,492997,499273,492098,488430,491070,500445,520503,538401,558076,580836,603249,622986,644612
Austria,Total,60,60-64,From 60 to 64 years,392709,438407,475891,495729,508926,490176,447403,427235,437230,445549,449657,472872,478584,472777,470053,473895,484296,504980,523556
Austria,Total,65,65-69,From 65 to 69 years,344485,334908,329826,325273,330776,370956,415057,449530,468674,481195,463157,421955,402912,412527,420420,424860,446948,452914,448191
Austria,Total,70,70-74,From 70 to 74 years,329268,327615,325955,323305,317983,311961,304267,300226,297298,303259,341276,382379,414709,431900,443425,426876,388551,370922,380051
Austria,Total,75,75-79,From 75 to 79 years,287803,290074,288943,283855,281000,279609,279401,277851,277306,274153,269721,264395,261787,260463,266641,302378,339353,368181,383384
Austria,Total,80,80-84,From 80 to 84 years,125812,142468,166019,188057,207665,217776,220463,220420,218446,217499,216946,217751,217776,218667,217207,214971,211412,210561,210513
Austria,Total,85,85,85 years or over,146299,142951,138475,129989,123475,127643,138399,150572,162302,172971,182285,191119,199173,203700,208965,214843,218703,222939,224853
Belgium,Females,1,1-4,From 1 to 4 years,282480,282540,281794,280089,279553,280852,283500,288316,293556,301448,306980,315328,317474,318669,316811,314733,311652,308145,303996
Belgium,Females,5,5-9,From 5 to 9 years,303443,298421,294491,290870,288378,288381,289734,289700,288713,289318,291634,296765,301135,306820,312928,318100,323804,325682,326802
Belgium,Females,10,10-14,From 10 to 14 years,295574,300911,306287,310278,310907,308134,304723,301035,298100,296352,297169,300722,300593,299116,298985,300627,302928,307475,313549
Belgium,Females,15,15-19,From 15 to 19 years,301328,297102,295150,295749,299048,302986,309498,315090,319445,320482,318449,317228,313740,310297,307757,307559,309191,308408,306956
Belgium,Females,20,20-24,From 20 to 24 years,310936,314929,318136,319540,319275,318785,316884,317150,319092,324396,329176,339447,344573,348309,347665,343660,339539,334387,330588
